uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"964b00c7-20c8-42e8-b4b0-35fd892d4f19","D03","BARC","BARC.AOS.riparian.point.05","2019-02-12T13:49Z","2019-09-16","BARC.20190212.BENTHICSWEEP.5","A00000037219",,"HYASP2","Y","Hyalella sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Hyalellidae",,,,"Hyalella","sp.",,"none",2,,11,100,11,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,
"28e639a3-2b41-4688-bbd6-3150f173bfb5","D03","BARC","BARC.AOS.riparian.point.09","2019-02-12T13:49Z","2019-09-17","BARC.20190212.BENTHICSWEEP.9","A00000037217",,"OXYSP","Y","Oxyethira sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydroptiloidea","Hydroptilidae","Hydroptilinae","Hydroptilini",,"Oxyethira","sp.",,"larva",1,,5,75,7,"N","N","condition OK","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","A. Navesky",,
"f4dc48c6-b9ec-482a-91b3-0dce84596baa","D03","BARC","BARC.AOS.littoral2","2019-02-12T13:49Z","2019-09-17","BARC.20190212.PONAR.3","A00000037223",,"DERSP4","Y","Dero sp.",,"genus","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Dero","sp.",,"none",2,,1,100,1,"N","N","damaged, affecting measurement","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty","Fragment measured",
"cace9134-1697-4f8e-b226-abb50a771b9a","D03","BARC","BARC.AOS.riparian.point.09","2019-02-12T13:49Z","2019-09-17","BARC.20190212.BENTHICSWEEP.9","A00000037217",,"PSESP18","Y","Pseudochironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Pseudochironomini",,"Pseudochironomus","sp.",,"larva",6,,2,75,3,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"e21e52e2-1c7b-4dc5-b50e-32bcc04f6d26","D03","BARC","BARC.AOS.riparian.point.03","2019-02-12T13:49Z","2019-09-16","BARC.20190212.BENTHICSWEEP.3","A00000037220",,"POLILL","Y","Polypedilum illinoense gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","illinoense gr.",,"larva",5,,2,88,2,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"f1a1d206-e949-4830-92ee-034089f7387a","D03","BARC","BARC.AOS.littoral1","2019-02-12T13:49Z","2019-09-17","BARC.20190212.PONAR.2","A00000037221",,"BRADAD","Y","Bratislavia dadayi",,"species","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Bratislavia","dadayi",,"none",3,,4,4,110,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,
"7beb04bc-c4fa-4a64-a61a-7981b641df0f","D03","BARC","BARC.AOS.littoral2","2019-02-12T13:49Z","2019-09-17","BARC.20190212.PONAR.3","A00000037223",,"PLASP2","Y","Planorbidae sp.",,"family","Mollusca",,"Gastropoda",,,,"Basommatophora",,,,"Planorbidae",,,,,"sp.",,"none",2,,1,100,1,"N","N","damaged, affecting taxonomy","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","ancylini",
"cd759b7b-8d73-47af-8e6d-09b86ffa6897","D03","BARC","BARC.AOS.riparian.point.05","2019-02-12T13:49Z","2019-09-16","BARC.20190212.BENTHICSWEEP.5","A00000037219",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",4,,1,100,1,"N","Y","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"36b48a11-f627-4ab1-ae20-169a1367146e","D03","BARC","BARC.AOS.riparian.point.07","2019-02-12T13:49Z","2019-09-17","BARC.20190212.BENTHICSWEEP.7","A00000037218",,"TRISP18","Y","Tribelos sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Tribelos","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","G. Wallace","old chironomini genus 3",
"1496c45b-bd4f-49a4-a32d-eb70b57ba36f","D03","BARC","BARC.AOS.riparian.point.01","2019-02-12T13:49Z","2019-09-13","BARC.20190212.BENTHICSWEEP.1","A00000037216",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",2,,1,44,2,"N","Y","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
