uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"f387c697-bc76-447d-a3fd-4bbf248b4dfd","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.SURBER.3",,,"HELSP22","Y","Helodon/Prosimulium sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae","Simuliinae","Prosimuliini",,"Helodon/Prosimulium","sp.",,"larva",1,,9,100,9,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","B. Sloniker","Immature; Poor Condition; Not Distinct","legacyData"
"4a3de0e7-cef6-4f5f-b96e-2e2cb931d5cb","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-19","CARI.20160823.KICKNET.1",,,"ZAPORE","Y","Zapada oregonensis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","oregonensis gr.",,"larva",1,,3,100,3,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"58dacfaf-778b-422a-a081-c2fb9e4c5154","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-04","CARI.20160823.KICKNET.3",,,"EUKCOE","Y","Eukiefferiella coerulescens gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","coerulescens gr.",,"larva",2,,2,100,2,"N","N","condition OK","Y",,"Bode 1983","Y","EcoAnalysts Inc.","G. Wallace","dark heads as previous","legacyData"
"9dcb5703-3e6b-4fce-9998-11eab9e60292","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-03","CARI.20160823.SURBER.1",,,"PARSP29","Y","Parorthocladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parorthocladius","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","1of this taxon from this sample in Ref. Coll.","legacyData"
"e87c1b3a-5bc5-426d-aaad-99189772d369","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-19","CARI.20160823.SURBER.1",,,"ZAPORE","Y","Zapada oregonensis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","oregonensis gr.",,"larva",4,,1,100,1,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"69c9321a-00cf-43db-9464-34358d9cf9bd","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-13","CARI.20160823.KICKNET.3",,,"LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"none",4,,6,100,6,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","Y","EcoAnalysts Inc.","L. Flaherty","Fragment; Measurement is of fragment only","legacyData"
"d9b3d754-f713-4311-8e6d-4aa0febb0a1f","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-19","CARI.20160823.KICKNET.1",,,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",2,,1,100,1,"Y","N","condition OK","N",,"Merritt et al. 2008","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"fe7d3472-a9e7-4552-b0ad-ed51bb840b82","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-10","CARI.20160823.KICKNET.2",,,"ENCSP1","Y","Enchytraeidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Enchytraeida",,,,"Enchytraeidae",,,,,"sp.",,"none",2,"2a",2,100,2,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,"legacyData"
"d3a068a7-3c3c-4972-9b7f-6e02ab72df0e","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.KICKNET.3",,,"CAPSP2","Y","Capniidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Capniidae",,,,,"sp.",,"larva",1,"1b",1,100,1,"N","N","damaged, affecting measurement","Y",,"Stewart and Stark, 2002","Y","EcoAnalysts Inc.","B. Sloniker","Immature; Fragment; Measurement is of fragment only","legacyData"
"244c40f2-8393-4e35-86c3-6e01f210cee0","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.KICKNET.4",,,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",2,,1,100,1,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"37f50bce-65b8-4556-8b55-7bfa281b3cf3","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-23","CARI.20160823.KICKNET.5",,,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",1,"1b",1,100,1,"N","N","damaged, affecting measurement","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","B. Sloniker","Fragment; Measurement is of fragment only","legacyData"
"7895ef53-b05c-4baa-8b41-b21fdb3ff386","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-23","CARI.20160823.KICKNET.5",,,"DRUDOD","Y","Drunella doddsii",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Drunella","doddsii",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Allen and Edmunds 1962","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"84b9dc4b-068b-4538-b9e9-d3defba9687d","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-04","CARI.20160823.SURBER.3",,,"PSESP15","Y","Pseudodiamesa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Pseudodiamesa","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"53ec1124-9326-4e09-b4bf-87ef19135f74","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-19","CARI.20160823.SURBER.1",,,"CAPSP2","Y","Capniidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Capniidae",,,,,"sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker","Immature","legacyData"
"81d3e191-8f56-493a-aec5-80e1226ecd4d","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-08","CARI.20160823.SURBER.3",,,"DIASP8","Y","Diamesa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Diamesa","sp.",,"larva",2,,2,100,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"c0ab6c65-3c54-45af-ba6f-1bfe475e0d08","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-04","CARI.20160823.KICKNET.5",,,"RHESP1","Y","Rheocricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheocricotopus","sp.",,"pupa",3,,2,100,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"aa0ad1b6-7528-4ca0-978d-5d692e8a89fc","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.KICKNET.3",,,"SPESP4","Y","Sperchon sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Sperchontidae",,,,"Sperchon","sp.",,"adult",1,,1,100,1,"N","N","condition OK","Y",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.","B. Sloniker","1of this taxon from this sample in Ref. Coll.","legacyData"
"916f5298-34cd-4530-88c4-9d3ad0b1e591","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-13","CARI.20160823.KICKNET.4",,,"LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"none",8,,4,100,4,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,"legacyData"
"780d4b02-5ca0-4a75-a91f-9c42246a64da","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.KICKNET.4",,,"HELSP22","Y","Helodon/Prosimulium sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae","Simuliinae","Prosimuliini",,"Helodon/Prosimulium","sp.",,"larva",2,,1,100,1,"N","N","other (specified in remarks)","N",,"Merritt et al. 2008","N","EcoAnalysts Inc.","B. Sloniker","Poor Condition; Not Distinct","legacyData"
"b3b3ce55-fe80-4885-ae07-d51617db01b6","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-13","CARI.20160823.KICKNET.4",,,"LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"none",11,,1,100,1,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,"legacyData"
"c9a6fea9-906a-498b-8eee-c2569e81fd16","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-19","CARI.20160823.KICKNET.2",,,"TURSP","Y","Turbellaria sp.",,"class","Platyhelminthes",,"Turbellaria",,,,,,,,,,,,,"sp.",,"none",5,,1,100,1,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","B. Sloniker",,"legacyData"
"de316a13-6a8e-4991-bd15-2208835d4a8f","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-22","CARI.20160823.SURBER.2",,,"NEMSP5","Y","Nemouridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae",,,,,"sp.",,"larva",1,,7,100,7,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker","Immature; Not Distinct","legacyData"
"e61ad428-b28a-4115-b964-31690ae5461b","D19","CARI","CARI.AOS.reach","2016-08-23T19:25Z","2017-01-04","CARI.20160823.KICKNET.5",,,"CHASP12","Y","Chaetocladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Chaetocladius","sp.",,"larva",4,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
