uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"dab12e4d-9b1d-41ac-9dbc-343d37626fe7","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-27","2021-01-28","COMO.20200803.KICKNET.2","A00000133658","COMO.20200803.KICKNET.2",,"BA20NEOMST06015C",,,,"BA20NEOMST06015LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,37.0,100.0,1,,"Rhithron Associates, Inc.","yZFSmq1jJzE=","LOdFES9HN1w=",,,,
"443dbbf5-acde-4eb8-8038-ca567570b835","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-26","COMO.20200803.KICKNET.1","A00000133659","COMO.20200803.KICKNET.1",,"BA20NEOMST06016C",,,,"BA20NEOMST06016LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,43.0,91.2,1,,"Rhithron Associates, Inc.","FtcfAjYRHgtys5Ba7LiLag==","jrNz6zwqS3Q=",,,,
"7a634977-b1ac-467f-a28f-f9676e4b74c2","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-28","COMO.20200803.SURBER.4","A00000133661","COMO.20200803.SURBER.4",,"BA20NEOMST06010C",,,,"BA20NEOMST06010LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,100.0,97.4,1,,"Rhithron Associates, Inc.","jrNz6zwqS3Q=","LOdFES9HN1w=",,,,
"cca9d756-d4b3-4030-8c62-6bf3aeda231d","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-26","COMO.20200803.KICKNET.3","A00000133657","COMO.20200803.KICKNET.3",,"BA20NEOMST06014C",,,,"BA20NEOMST06014LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,10.0,100.0,1,,"Rhithron Associates, Inc.","FtcfAjYRHgtys5Ba7LiLag==","WO1ROMpMI5UERdFobeLniw==",,,,
"55479b82-e6cc-48a2-9883-d195f39fffd4","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-25","2021-01-26","COMO.20200803.SURBER.5","A00000133660","COMO.20200803.SURBER.5",,"BA20NEOMST06009C",,,,"BA20NEOMST06009LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,40.0,100.0,1,,"Rhithron Associates, Inc.","jrNz6zwqS3Q=","FtcfAjYRHgtys5Ba7LiLag==",,,,
"9b477e76-3a6c-46d6-86cd-704c3f97db71","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-26","COMO.20200803.SURBER.1","A00000133768","COMO.20200803.SURBER.1",,"BA20NEOMST06013C",,,,"BA20NEOMST06013LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","filamentous algae",,,100.0,100.0,1,,"Rhithron Associates, Inc.","yZFSmq1jJzE=","WO1ROMpMI5UERdFobeLniw==",,,,
"7ee5d8c0-c895-4685-89f4-9c786c6e2c37","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-26","COMO.20200803.SURBER.2","A00000133674","COMO.20200803.SURBER.2",,"BA20NEOMST06012C",,,,"BA20NEOMST06012LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","coarse organic",,,33.0,97.7,1,,"Rhithron Associates, Inc.","egCH3wedmfhvZrvQbyFP8Q==","WO1ROMpMI5UERdFobeLniw==",,,,
"b31beda9-abb9-44d1-a1c8-f332b55cae29","D13","COMO","COMO.AOS.reach","2020-08-03T15:15Z","2021-01-26","2021-01-26","COMO.20200803.SURBER.3","A00000133662","COMO.20200803.SURBER.3",,"BA20NEOMST06011C",,,,"BA20NEOMST06011LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","coarse organic",,,43.0,100.0,1,,"Rhithron Associates, Inc.","kcNHfEa00olgOMivYV39aQ==","WO1ROMpMI5UERdFobeLniw==",,,0.3,1.5
"e16139ec-c441-4cd3-b075-1a093e629146","D13","COMO","COMO.AOS.reach","2020-08-31T16:23Z","2021-02-17","2021-02-18","COMO.20200831.SURBER.5","A00000134599","COMO.20200831.SURBER.5",,"BA20NEOMST11009C",,,,"BA20NEOMST11009LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","coarse organic",,,100.0,98.8,1,,"Rhithron Associates, Inc.","yZFSmq1jJzE=","jrNz6zwqS3Q=",,,,
"988541ec-1c35-491a-b93a-eb924edddd68","D13","COMO","COMO.AOS.reach","2020-08-31T16:23Z","2021-02-16","2021-02-18","COMO.20200831.SURBER.1","A00000134595","COMO.20200831.SURBER.1",,"BA20NEOMST11013C",,,,"BA20NEOMST11013LR",,"RHITHRON_Macroinvertebrate_Identification_Revision1","fine organic",,,100.0,97.6,1,,"Rhithron Associates, Inc.","jrNz6zwqS3Q=","kcNHfEa00olgOMivYV39aQ==",,,,
