uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"9523fc3e-e7ee-43cf-87ec-d708d483f4a8","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"POLTRI2","Y","Polypedilum tritum",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","tritum",,"larva",2,,1,75,1,"N","N","damaged, affecting measurement","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"7a8e778f-6c15-49e2-9ef5-89f7e4596d32","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-11-29","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"larva",1,,10,75,13,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","K. Guild",,
"c933de73-d96f-4da7-9531-c3918967ce47","D05","CRAM","CRAM.AOS.riparian.point.02","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.2","A00000007590",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",2,,6,25,24,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","Y","EcoAnalysts Inc.","G. Wallace",,
"1cbc2eb6-5c5b-40d2-8d6b-a86f3e5dcc2e","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-11-29","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",3,,1,75,1,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","K. Guild",,
"52939047-dd35-4895-9b67-bacceedd1ec8","D05","CRAM","CRAM.AOS.riparian.point.02","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.2","A00000007590",,"POLSOR","Y","Polypedilum sordens",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sordens",,"larva",1,,2,25,8,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","Y","EcoAnalysts Inc.","G. Wallace",,
"7623ab9b-7fca-4c81-9b87-31685cf916de","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"ABLSP","Y","Ablabesmyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","sp.",,"larva",3,,1,75,1,"N","N","condition OK","Y",,"Roback 1985 and Epler 2001","N","EcoAnalysts Inc.","G. Wallace","3-segmented palps and immatures",
"416e8317-bc6e-49b8-a16a-a8a6c8f3de57","D05","CRAM","CRAM.AOS.riparian.point.10","2018-07-09T13:52Z","2018-12-03","CRAM.20180709.BENTHICSWEEP.10","A00000007591",,"ABLRHA","Y","Ablabesmyia rhamphe gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","rhamphe gr.",,"larva",7,,1,75,1,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"459430ed-776f-4b92-bfd3-6e4b61a734d4","D05","CRAM","CRAM.AOS.riparian.point.10","2018-07-09T13:52Z","2018-11-29","CRAM.20180709.BENTHICSWEEP.10","A00000007591",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"larva",2,,5,75,7,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","K. Guild",,
"be3ec507-a0d1-46c5-b581-f00d2174b5d5","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",1,,4,75,5,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"d006d974-0ad1-4690-a746-07d8d6c2d29b","D05","CRAM","CRAM.AOS.riparian.point.04","2018-07-09T13:52Z","2018-12-02","CRAM.20180709.BENTHICSWEEP.4","A00000007593",,"MICPED","Y","Microtendipes pedellus gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Microtendipes","pedellus gr.",,"larva",1,,1,75,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
