uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"35bc7a3f-3787-4b8f-a02a-a397d2f25d5a","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-12","2017-05-22","HOPB.20170412.CORE.2",,"HOPB.20170412.CORE.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",,,100.0,98.3,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","Primary matrix is Inorganic E=.295L sand and rock",,,
"0bf38661-1518-4c10-9126-55eaa9ffbe16","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-13","2017-05-22","HOPB.20170412.SURBER.1",,"HOPB.20170412.SURBER.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",,,100.0,96.3,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","Primary matrix is Inorganic",,,
"4b8779c9-fd40-491d-a68b-d1d0f347415f","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-16","2017-05-22","HOPB.20170412.SURBER.4",,"HOPB.20170412.SURBER.4",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,87.5,97.4,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.5L sand and rock. .25L washed out at setup.",,,
"1112031d-62b3-4848-add3-e44a2bba7ecc","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-17","2017-05-23","HOPB.20170412.SURBER.5",,"HOPB.20170412.SURBER.5",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,96.9,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.5L sand and rock.",,,
"16ac366e-cd10-424b-a2b8-4149d3d5c481","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-11","2017-05-22","HOPB.20170412.CORE.1",,"HOPB.20170412.CORE.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,96.7,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==",".265L sand and rock.",,,
"21a91233-c90f-4d63-aff0-85a72b6103bf","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-13","2017-05-22","HOPB.20170412.SURBER.2",,"HOPB.20170412.SURBER.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,98.4,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.2L sand and rock.",,,
"d0546a93-fdee-4ef3-a72c-4dba8cdf1bee","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-14","2017-05-22","HOPB.20170412.SURBER.3",,"HOPB.20170412.SURBER.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,96.9,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.85L sand and rock.",,,
"58cd5274-fe31-4e61-b80c-ab8468baf80b","D01","HOPB","HOPB.AOS.reach","2017-04-12T13:23Z","2017-05-13","2017-05-22","HOPB.20170412.CORE.3",,"HOPB.20170412.CORE.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,96.0,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.1L sand and rock. .125L washed out at setup.",,,
"b90fa097-f28e-4919-ab4c-ade01c1b5f7b","D01","HOPB","HOPB.AOS.reach","2017-04-12T16:00Z","2017-05-17","2017-05-22","HOPB.20170412.SURBER.4.DNA",,"HOPB.20170412.SURBER.4.DNA",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,62.5,98.3,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.2L sand and rock.",,,
"313230d2-2fe2-4000-a920-395b5b9ca284","D01","HOPB","HOPB.AOS.reach","2017-04-12T16:00Z","2017-05-14","2017-05-22","HOPB.20170412.SURBER.3.DNA",,"HOPB.20170412.SURBER.3.DNA",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",,,100.0,96.6,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","Primary matrix is Inorganic",,,
"58bac544-25fe-4c4c-81c2-650a9b33fa77","D01","HOPB","HOPB.AOS.reach","2017-04-12T16:00Z","2017-05-17","2017-05-23","HOPB.20170412.SURBER.5.DNA",,"HOPB.20170412.SURBER.5.DNA",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",,,100.0,95.9,1,,"EcoAnalysts Inc.","FDBFIfBktdl+XmYpYZQBzg==","CBtXit/4I2Wo31ut9nAUtQ==","E=.5L sand and rock.",,,
