uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"04fa1d4f-7343-4e36-a79d-ec916a2d6f2c","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.CORE.3",,,,"NEON.DOC.000690vE",,,"pool","core",3,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"1bb5e298-96f5-4f34-a4a1-597dbf815c3c","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.KICKNET.4",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",4,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"359959c9-d634-4640-b78e-a0fdb3ee0f43","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.KICKNET.5",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",5,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"4e8ce80e-5776-4ca8-9e07-0c909d3a9eb9","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.KICKNET.1",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",1,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"4656c5d0-53ff-48c9-9e9a-1d55d0979858","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.KICKNET.3",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",3,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"5d17f9d0-93a4-4672-85a3-3946f35c60d2","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.CORE.1",,,,"NEON.DOC.000690vE",,,"pool","core",1,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"d227efef-c919-4160-92f6-b925955af857","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.CORE.2",,,,"NEON.DOC.000690vE",,,"pool","core",2,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"37ee84a2-7cd5-4922-809b-5c24c74cb47c","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T16:46Z","KING.20150706",2,"KING.20150706.KICKNET.2",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",2,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org",
"b06645e1-d1c2-451e-be0c-4e253ea2678e","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.KICKNET.4",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",4,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"0cc1d03b-2914-4a53-82ff-98de0bc2a7cd","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.CORE.2",,,,"NEON.DOC.000690vE",,,"pool","core",2,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"39266126-f94d-4b46-b5d9-4cd605c9e8ec","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.KICKNET.3",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",3,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"66f1ce66-ad3d-4b3a-afe9-5e0a3083ae60","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.CORE.1",,,,"NEON.DOC.000690vE",,,"pool","core",1,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"70e527e8-ffae-4f77-a9e8-1571c55de3a4","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.KICKNET.2",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",2,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"e30d1653-f912-4c1a-8051-e1626556738f","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.KICKNET.5",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",5,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"222cb300-67df-4ea5-aa5a-9f373737c1ae","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.KICKNET.1",,,,"NEON.DOC.000690vE",,,"riffle","modifiedKicknet",1,"pebble",0.250,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
"4fa2ca19-d5cb-4bf0-ac88-4122cb2ebe7e","D06","KING","KING.AOS.reach",39.105061,-96.603829,1000.0,"WGS84",324.4,1000.0,"stream","2015-07-06T17:00Z","KING.20150706",2,"STKG.20150706.CORE.3",,,,"NEON.DOC.000690vE",,,"pool","core",3,"clay",0.006,,,,,,,"zbuck@neoninc.org","Fbouchard@neoninc.org","legacyData"
