uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"a69d8271-c57a-4bda-9f7e-ea3c1342943e","D08","MAYF","MAYF.AOS.reach","2017-07-18T14:51Z","2018-01-08","2018-01-09","MAYF.20170718.SNAG.5",,"MAYF.20170718.SNAG.5",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,100.0,1,,"EcoAnalysts Inc.","CBtXit/4I2Wo31ut9nAUtQ==","uHoo3kTsBG4=",,,,
"b510301d-7d64-4e40-9361-d89c903b666f","D08","MAYF","MAYF.AOS.reach","2017-07-18T14:51Z","2018-01-05","2018-01-08","MAYF.20170718.SNAG.2",,"MAYF.20170718.SNAG.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,96.9,1,,"EcoAnalysts Inc.","CBtXit/4I2Wo31ut9nAUtQ==","uHoo3kTsBG4=",,,1.5,7.4
"45030e2a-c38f-40f7-856b-5b309f2269e4","D08","MAYF","MAYF.AOS.reach","2017-07-18T14:51Z","2018-01-04","2018-01-08","MAYF.20170718.SNAG.1",,"MAYF.20170718.SNAG.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,98.3,1,,"EcoAnalysts Inc.","CBtXit/4I2Wo31ut9nAUtQ==","uHoo3kTsBG4=",,,,
"a021dc3c-cde9-443d-8ea9-7c6894011220","D08","MAYF","MAYF.AOS.reach","2017-07-18T14:51Z","2018-01-08","2018-01-09","MAYF.20170718.SNAG.4",,"MAYF.20170718.SNAG.4",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,100.0,1,,"EcoAnalysts Inc.","pOEkMiK23Js6oQ5QN8ELrQ==","BiR1PG3qYHnG+SNIMM2WVA==",,,,
"f80e8881-ae67-4e3d-a6bf-43a425d08e6e","D08","MAYF","MAYF.AOS.reach","2017-07-18T14:51Z","2018-01-08","2018-01-09","MAYF.20170718.SNAG.3",,"MAYF.20170718.SNAG.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,97.1,1,,"EcoAnalysts Inc.","CBtXit/4I2Wo31ut9nAUtQ==","BiR1PG3qYHnG+SNIMM2WVA==",,,,
"0ed949d1-da7f-4681-9b9f-ce6dbf96a5b5","D08","MAYF","MAYF.AOS.reach","2017-07-20T14:37Z","2018-01-08","2018-01-09","MAYF.20170720.CORE.2",,"MAYF.20170720.CORE.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",,,100.0,100.0,1,,"EcoAnalysts Inc.","pOEkMiK23Js6oQ5QN8ELrQ==","BiR1PG3qYHnG+SNIMM2WVA==","Primary Matrix is Inorganic",,,
"37cb152e-b37e-492b-a6b6-ccc89e9f3705","D08","MAYF","MAYF.AOS.reach","2017-07-20T14:37Z","2018-04-19","2018-04-24","MAYF.20170720.CORE.2",,"MAYF.20170720.CORE.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",0.02,0.02,100.0,100.0,2,,"EcoAnalysts Inc.","gEqrl/7gTgHVxG4vhU3kcg==","CBtXit/4I2Wo31ut9nAUtQ==",,,,
"9952d51a-be7c-43bf-85ad-1a067cfd5fdb","D08","MAYF","MAYF.AOS.reach","2017-07-20T14:37Z","2018-04-19","2018-04-24","MAYF.20170720.CORE.1",,"MAYF.20170720.CORE.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",0.02,0.01,100.0,100.0,2,,"EcoAnalysts Inc.","1vcFwuCrweea3e6drzmsAw==","CBtXit/4I2Wo31ut9nAUtQ==","Primary matrix is inorganic",,0.0,16.7
"e2d0b7ab-caaa-49cc-9ca3-12ca1bb165bd","D08","MAYF","MAYF.AOS.reach","2017-07-20T14:37Z","2018-04-19","2018-04-24","MAYF.20170720.CORE.3",,"MAYF.20170720.CORE.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",0.01,0.01,100.0,100.0,1,,"EcoAnalysts Inc.","7fjBP78Guy6YsiMxuAF1NQ==","CBtXit/4I2Wo31ut9nAUtQ==","E=0.005 sand",,,
"13ff2ce1-2faa-4eb2-a3e5-3fff102bc48c","D08","MAYF","MAYF.AOS.reach","2017-07-20T14:37Z","2018-01-08","2018-01-09","MAYF.20170720.CORE.1",,"MAYF.20170720.CORE.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",,,100.0,100.0,1,,"EcoAnalysts Inc.","CBtXit/4I2Wo31ut9nAUtQ==","BiR1PG3qYHnG+SNIMM2WVA==","Primary Matrix is Inorganic",,0.0,16.7
