uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"6d93e66a-b3c0-4058-9c73-715ca7d693df","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-22","MCRA.20180430.SURBER.2","A00000024207",,"CALCAL","Y","Calineuria californica",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlidae","Acroneuriinae","Acroneuriini",,"Calineuria","californica",,"larva",5,,2,75,3,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker",,
"ce575177-e0aa-49bf-9a82-ca45371be461","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-19","MCRA.20180430.SURBER.6","A00000024202",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",4,,2,61,3,"N","N","condition OK","Y",,"Merritt and Cummins 2008","Y","EcoAnalysts Inc.","B. Sloniker",,
"50caa7b6-89f9-40a9-9be2-0069c4aee1ad","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-23","MCRA.20180430.SURBER.3","A00000024169",,"HEXSP3","Y","Hexatoma sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Tipulomorpha",,"Tipulidae","Limoniinae","Hexatomini",,"Hexatoma","sp.",,"larva",27,,1,100,1,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","B. Sloniker",,
"4e6ed2ae-ae63-4be5-9bc7-8ce9908804f7","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-09-05","MCRA.20180430.SURBER.7","A00000024155",,"PAGSP4","Y","Pagastia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Pagastia","sp.",,"larva",10,,1,100,1,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"f13d5662-7376-4a06-8fe0-b5ba72736396","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-21","MCRA.20180430.SURBER.5","A00000024149",,"LEUSP2","Y","Leuctridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Leuctridae",,,,,"sp.",,"larva",1,,1,50,2,"N","Y","damaged, affecting taxonomy and measurement","N",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","B. Sloniker",,
"e7e728b4-35aa-4cd4-802f-ce4448c35acf","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-09-05","MCRA.20180430.SURBER.6","A00000024202",,"EUKBRE1","Y","Eukiefferiella brevicalcar gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","brevicalcar gr.",,"larva",1,,2,61,3,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","Y","EcoAnalysts Inc.","G. Wallace",,
"73ae5dc0-6584-451e-8345-cfef53469588","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-09-05","MCRA.20180430.SURBER.1","A00000024138",,"MICSP6","Y","Micropsectra sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Micropsectra","sp.",,"larva",3,,3,61,5,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"19a22fa2-dcc5-45c1-a6fc-85f66061525c","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-18","MCRA.20180430.SURBER.7","A00000024155",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",1,,1,100,1,"N","N","damaged, affecting measurement","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","B. Sloniker",,
"302f711a-703a-4bfa-809a-78800c6edd94","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-21","MCRA.20180430.SURBER.5","A00000024149",,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",2,,3,50,6,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","B. Sloniker",,
"792c8c0b-2a42-45cc-ba6a-44b8f2ab6ada","D16","MCRA","MCRA.AOS.reach","2018-04-30T15:48Z","2018-10-19","MCRA.20180430.SURBER.6","A00000024202",,"PROSP21","Y","Prosimulium sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae","Simuliinae","Prosimuliini",,"Prosimulium","sp.",,"larva",8,,1,61,2,"N","N","condition OK","Y",,"Merritt and Cummins 2008","Y","EcoAnalysts Inc.","B. Sloniker",,
