uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"2dd0f10e-c434-43c4-8d60-34ad2e488b1d","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z",,"POSE.20141028.HESS.1",,"NE(2)1214-4-CHI","POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",2,,10,100,10,"N","Y","condition OK","Y",,"Ferrington et al. 2008","N","GEI Consultants Inc.","LF",,
"527d4df0-1d8c-4968-89bb-5eccdc3d6461","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-10","POSE.20141028.SURBER.3",,,"LEPSP4","Y","Leptophlebiidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,,"sp.",,"larva",,,1,70,1,"N","Y","damaged, affecting analysis","Y",,"Merritt et al. 2008","Y","GEI Consultants Inc.","KG","MISSING ABD.",
"f35f5d73-f0de-4712-ad3c-7e70a164a3f3","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-12","POSE.20141028.SURBER.5",,,"CHESP5","Y","Cheumatopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Hydropsychinae",,,"Cheumatopsyche","sp.",,"larva",,,2,30,7,"N","Y","damaged, affecting analysis","Y",,"Merritt et al. 2008; Wiggins 1996","N","GEI Consultants Inc.","KG","MISSING ABD.",
"5f619fac-4163-40cd-aac1-fd4295eeae56","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-01","POSE.20141028.HESS.1",,,"NEMSP","Y","Nematoda sp.","Unid. Nematoda","phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"adult",6,,1,100,1,"N","Y","condition OK","Y",,"Thorp and Covich 2001","N","GEI Consultants Inc.","KG",,
"005f68f0-bc1f-4352-94f6-9f4c9c4cc180","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z",,"POSE.20141028.HESS.1",,"NE(2)1214-4-CHI","ZAVSP","Y","Zavrelimyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Zavrelimyia","sp.",,"larva",4,,15,100,15,"N","Y","condition OK","Y",,"Ferrington et al. 2008","N","GEI Consultants Inc.","LF",,
"26a8f9bd-abb6-45cf-a302-ed6842f10ba3","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-05","POSE.20141028.SURBER.1",,,"PLESP","Y","Plecoptera sp.",,"order","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera",,,,,,,,,"sp.",,"larva",,,2,20,10,"Y","Y","damaged, affecting analysis","N",,"Merritt et al. 2008; Stewart and Stark 2002","N","GEI Consultants Inc.","KG","HEADS AND MISSING ABD.",
"358e31b8-98d7-45a0-ae7b-dbe6ff4c70dc","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z",,"POSE.20141028.HESS.1",,"NE(2)1214-4-CHI","POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",4,,10,100,10,"N","Y","condition OK","Y",,"Ferrington et al. 2008","N","GEI Consultants Inc.","LF",,
"521efecc-0412-4db4-9fbe-d8fc192c2f3c","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z",,"POSE.20141028.SURBER.1",,"NE(2)1214-7-CHI","CONGR","Y","Conchapelopia/Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta",,"Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,,"gr.",,"larva",2,,2,20,10,"N","Y","condition OK","Y",,"Ferrington et al. 2008","N","GEI Consultants Inc.","LF",,
"1c4a0e67-0219-4700-9ada-016e206d647f","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-01","POSE.20141028.HESS.1",,,"PROSP27","Y","Probezzia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Sphaeromiini",,"Probezzia","sp.",,"larva",,,1,100,1,"N","Y","damaged, affecting analysis","Y",,"Merritt et al. 2008","N","GEI Consultants Inc.","KG","TORN",
"1db00093-a588-4b39-97f3-3906ca6eb047","D02","POSE","POSE.AOS.reach","2014-10-28T15:20Z","2015-06-01","POSE.20141028.HESS.1",,,"HYDSP25","Y","Hydatophylax sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Limnephilidae","Limnephilinae","Stenophylacini",,"Hydatophylax","sp.",,"larva",3,,1,100,1,"N","Y","condition OK","Y",,"Merritt et al. 2008; Wiggins 1996","N","GEI Consultants Inc.","KG",,
