uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"68cfdce9-08cb-4e6c-b1c3-4c7b7f99efa1","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.CORE.1","A00000052338",,"PARSP33","Y","Paratendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Paratendipes","sp.",,"larva",2,,2,100,2,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"1cd95a31-52a9-4c44-8898-427e5117e5a5","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.SURBER.1","A00000052339",,"CORSP19","Y","Corynoneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Corynoneura","sp.",,"pupa",2,,1,97,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","U. Rai",,
"bf2731f5-5059-455c-aacf-3937e522ba32","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.2","A00000052341",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",1,,50,88,57,"N","Y","condition OK","N",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"66f0dbbd-8bbf-4d5b-8311-13a5beb34b46","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.3","A00000052330",,"EUKSP","Y","Eukiefferiella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","sp.",,"pupa",2,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","U. Rai","1 in Reference Collection",
"8558e890-0dcf-4045-be15-7bb7c569072b","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.2","A00000052341",,"EUKBRE1","Y","Eukiefferiella brevicalcar gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","brevicalcar gr.",,"larva",3,,5,88,6,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"fba1b5eb-db8d-4834-ae80-935c8dab3ad5","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.CORE.2","A00000052340",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",1,,3,100,3,"N","Y","condition OK","N",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"136ffbd9-8220-4729-842e-ec81f54e37f2","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.3","A00000052330",,"CORSP19","Y","Corynoneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Corynoneura","sp.",,"pupa",2,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","U. Rai","1 in Reference Collection",
"98377e2b-2a9d-4f7b-9994-9c9c3b55bba0","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.3","A00000052330",,"THIGRO","Y","Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Thienemannimyia","gr.",,"larva",4,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","Y","EcoAnalysts Inc.","U. Rai","1 in Reference Collection",
"e25686fd-cfed-494a-bc07-5ad98cebb33c","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.2","A00000052341",,"HYDSP26","Y","Hydrobaenus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Hydrobaenus","sp.",,"larva",4,,2,88,2,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"ec3e0657-683b-45c2-9c57-d0a6915713cc","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.SURBER.1","A00000052339",,"ARGSP5","Y","Argia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Zygoptera",,,"Coenagrionidae",,,,"Argia","sp.",,"larva",2,,1,97,1,"N","N","condition OK","Y",,"Needham, Westfall and May 2000","N","EcoAnalysts Inc.","A. Navesky","3 in Reference Collection; RC specimen",
"a2c96a6f-38cd-4fb4-abe0-d3a043ee8f48","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.2","A00000052341",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",2,,15,88,17,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","U. Rai",,
"12d675d0-cc4b-4e93-bfb2-cfbc0785aac1","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.CORE.1","A00000052338",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",2,,1,100,1,"N","Y","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky","strag mounted on worm slide",
"7b9f7239-6533-4343-9ae3-cb321f49f5d1","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.3","A00000052330",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",5,,1,100,1,"N","Y","condition OK","Y",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.","A. Navesky","1 in Reference Collection; RC specimen",
"d5c4f96f-5cef-4134-96ae-1b1e0fb16995","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-05","PRIN.20181030.SURBER.2","A00000052341",,"SIMSP","Y","Simuliidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Simuliidae",,,,,"sp.",,"pupa",4,,2,88,2,"N","N","damaged, affecting taxonomy","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"7801d18f-3fab-422c-9a98-6e2197aa1d33","D11","PRIN","PRIN.AOS.reach","2018-10-30T16:12Z","2019-06-09","PRIN.20181030.SURBER.1","A00000052339",,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",1,,4,97,4,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","U. Rai",,
