uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"9b0955eb-cc58-493c-8662-f9b63ca80623","D09","PRLA","PRLA.AOS.littoral1","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.PONAR.1","A00000242535",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",2,,2,100,2,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,
"7d963600-97c2-49e7-ab8a-2c3711f2c98c","D09","PRLA","PRLA.AOS.riparian.point.01","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.BENTHICSWEEP.1","A00000238074",,"HYDSP46","Y","Hydrodroma sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hydryphantoidea","Hydrodromidae",,,,"Hydrodroma","sp.",,"adult",1,,5,47,11,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,
"e559c83f-d403-4c99-bf3c-d98dcfc6e6a7","D09","PRLA","PRLA.AOS.riparian.point.03","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.BENTHICSWEEP.3","A00000238075",,"COESP","Y","Coenagrionidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Zygoptera",,,"Coenagrionidae",,,,,"sp.",,"larva",2,,8,23,35,"Y","N","condition OK","Y",,"Merritt et al. 2019; Westfall and May 1996","N","Rhithron Associates, Inc.","B. Moore",,
"5f20f2f4-9074-4ad1-a5e1-aa1e2935d1bf","D09","PRLA","PRLA.AOS.riparian.point.03","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.BENTHICSWEEP.3","A00000238075",,"COESP","Y","Coenagrionidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Zygoptera",,,"Coenagrionidae",,,,,"sp.",,"larva",4,,10,23,43,"Y","N","condition OK","Y",,"Merritt et al. 2019; Westfall and May 1996","N","Rhithron Associates, Inc.","B. Moore",,
"c6b8bcbc-3ae0-480f-8b61-ba6243cff474","D09","PRLA","PRLA.AOS.riparian.point.03","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.BENTHICSWEEP.3","A00000238075",,"COESP","Y","Coenagrionidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Zygoptera",,,"Coenagrionidae",,,,,"sp.",,"larva",9,,1,23,4,"Y","N","condition OK","Y",,"Merritt et al. 2019; Westfall and May 1996","N","Rhithron Associates, Inc.","B. Moore",,
"7c954733-1792-497c-a5f0-4865eb11c6ae","D09","PRLA","PRLA.AOS.riparian.point.11","2021-07-12T15:20Z","2021-08-18","PRLA.20210712.BENTHICSWEEP.11","A00000242534",,"HYASP2","Y","Hyalella sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Hyalellidae",,,,"Hyalella","sp.",,"none",8,,1,37,3,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","B. Moore",,
"f13baef7-f020-4de1-8a23-2a50fd75669d","D09","PRLA","PRLA.AOS.riparian.point.03","2021-07-12T15:20Z","2021-08-17","PRLA.20210712.BENTHICSWEEP.3","A00000238075",,"CORSP4","Y","Corixidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae",,,,,"sp.",,"larva",3,,3,23,13,"N","N","condition OK","N",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,
"2abcddba-b60f-4a19-92ae-9f50fd3376cd","D09","PRLA","PRLA.AOS.riparian.point.03","2021-07-12T15:20Z","2021-08-20","PRLA.20210712.BENTHICSWEEP.3","A00000238075",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",1,,1,23,4,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"b31a79b9-a966-4230-9ddb-5c6d00469796","D09","PRLA","PRLA.AOS.littoral2","2021-07-12T15:20Z","2021-08-20","PRLA.20210712.PONAR.2","A00000242536",,"TANSP10","Y","Tanypus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Tanypodini",,"Tanypus","sp.",,"larva",5,,2,100,2,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"342d200e-be75-4854-9add-33de3a74f449","D09","PRLA","PRLA.AOS.riparian.point.11","2021-07-12T15:20Z","2021-08-18","PRLA.20210712.BENTHICSWEEP.11","A00000242534",,"CENSP2","Y","Cenocorixa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae",,,"Cenocorixa","sp.",,"adult",6,,1,37,3,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,
