uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"0e8fb809-4220-4d1e-ad50-ed60039a23fc","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"GYRSP1","Y","Gyraulus sp.",,"genus","Mollusca",,"Gastropoda",,,,"Basommatophora",,,,"Planorbidae",,,,"Gyraulus","sp.",,"none",3,,1,100,1,"N","N","condition OK","Y",,"Burch 1989; Thorp and Rogers 2016","Y","Rhithron Associates, Inc.","J. Webb",,
"e3c7e3dd-a6e1-4b92-981e-0cdb24faa89c","D09","PRPO","PRPO.AOS.riparian.point.01","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.1","A00000241549",,"TRISP14","Y","Trichocorixa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae",,,"Trichocorixa","sp.",,"adult",4,,12,100,12,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"a06e1b6f-53dd-4ae7-be2e-db1c17b7cbfa","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O2","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",3,,3,70,4,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"f4b8743c-b63b-4601-9976-55790d801ef5","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"CORSP4","Y","Corixidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae",,,,,"sp.",,"larva",3,,1,100,1,"N","N","condition OK","N",,"Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"2a736cdb-a5a1-4cde-bcc6-e1c697c964c9","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O2","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",10,,2,70,3,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"6ac34249-65bb-49ab-9c39-d01fbacc9c36","D09","PRPO","PRPO.AOS.riparian.point.01","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.1","A00000241549",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",1,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"3313b8e6-68af-4055-98e9-93149b5c572e","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.PONAR.2","A00000241552",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",8,,1,70,1,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"31eb7794-7076-47a7-bfb8-79f997888ce6","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O1","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",4,,5,70,7,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"82bae076-541a-42b2-9523-d7a94bfff81c","D09","PRPO","PRPO.AOS.riparian.point.09","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.9","A00000241548",,"GAMSP3","Y","Gammarus sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Gammaridae",,,,"Gammarus","sp.",,"none",7,,8,100,8,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"91fa7e54-b61f-4fd9-866f-ef6992c99fd3","D09","PRPO","PRPO.AOS.riparian.point.03","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.3","A00000241553",,"TRISP14","Y","Trichocorixa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae","Corixinae",,,"Trichocorixa","sp.",,"adult",4,,66,100,66,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"0ce2fecb-46b7-44dd-a082-b02c51b2a201","D09","PRPO","PRPO.AOS.buoy.c0","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.PONAR.3","A00000241551",,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,,,,"sp.",,"none",1,,97,100,97,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"2cd6d8a2-f3c6-4588-b41d-115ac40e35d4","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O1","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",7,,3,70,4,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"a88ccb6a-2e78-41c0-a8e1-56aabc0ca5d0","D09","PRPO","PRPO.AOS.buoy.c0","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.PONAR.3","A00000241551",,"CHASP13","Y","Chaoborus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chaoboridae","Chaoborinae",,,"Chaoborus","sp.",,"larva",8,,11,100,11,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"2c2d7b9f-8383-494c-ba54-7b80e4f7e3da","D09","PRPO","PRPO.AOS.riparian.point.01","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.1","A00000241549","BA22NEOMLR02008O1","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",4,,1,100,1,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"8d602a72-b4fd-49d7-88a4-f2745188d69a","D09","PRPO","PRPO.AOS.riparian.point.07","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.7","A00000241546",,"HALSP7","Y","Haliplus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga",,,"Haliplidae",,,,"Haliplus","sp.",,"adult",3,,2,100,2,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"eaf5cb5c-1d2e-4193-b081-816efde8c11b","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.PONAR.2","A00000241552",,"OSTSP","Y","Ostracoda sp.",,"class","Arthropoda","Crustacea","Ostracoda",,,,,,,,,,,,,"sp.",,"none",1,,23,70,33,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"a5e5c932-a24e-4b36-bfef-cfd686701af4","D09","PRPO","PRPO.AOS.riparian.point.07","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.7","A00000241546",,"CLASP6","Y","Cladotanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Cladotanytarsus","sp.",,"larva",2,,6,100,6,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"872c449e-0623-4c46-aaaa-95c3e1da083a","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O2","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",9,,1,70,1,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"1008ea71-7d07-442c-bae5-a6acaab67028","D09","PRPO","PRPO.AOS.riparian.point.09","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.9","A00000241548",,"PHYSP7","Y","Physa sp.",,"genus","Mollusca",,"Gastropoda",,,,"Basommatophora",,,,"Physidae",,,,"Physa","sp.",,"none",10,,2,100,2,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"93880a38-5318-4976-bf5f-847f116b1295","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"GAMSP3","Y","Gammarus sp.",,"genus","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Peracarida","Amphipoda","Gammaridea",,,"Gammaridae",,,,"Gammarus","sp.",,"none",7,,3,100,3,"N","N","condition OK","Y",,"Thorp and Rogers 2016","Y","Rhithron Associates, Inc.","J. Webb",,
"5e8498fd-ff7d-4aa6-9bb3-85deced70d2d","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552",,"CRYSP3","Y","Cryptotendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Cryptotendipes","sp.",,"larva",3,,46,70,66,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"773d10c6-d20d-45d7-9bd6-f5d4c5d154da","D09","PRPO","PRPO.AOS.riparian.point.03","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.3","A00000241553",,"CALSP14","Y","Callibaetis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Callibaetis","sp.",,"larva",3,,2,100,2,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"898eba0c-220c-4d72-95f1-430341029ee5","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552",,"CLASP6","Y","Cladotanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Cladotanytarsus","sp.",,"larva",2,,117,70,167,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,
"c775bcf8-d2f4-4509-bad7-76ea91b88ec8","D09","PRPO","PRPO.AOS.riparian.point.03","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.3","A00000241553",,"CORSP4","Y","Corixidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae",,,,,"sp.",,"larva",3,,1,100,1,"N","N","condition OK","N",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"83426c81-8cfe-489c-bb68-f4f52d0fb82d","D09","PRPO","PRPO.AOS.riparian.point.01","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.1","A00000241549",,"CORSP4","Y","Corixidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Corixoidea","Corixidae",,,,,"sp.",,"larva",3,,1,100,1,"N","N","condition OK","N",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"4fe1522a-6ecf-4c0f-bc40-df5539ee00c1","D09","PRPO","PRPO.AOS.littoral2","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.PONAR.2","A00000241552","BA22NEOMLR02002O1","NAISP","Y","Naididae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"none",3,,2,70,3,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o HC",
"70447bed-5f7b-48dc-a601-1faf51dc3dea","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",1,,3,100,3,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",,
"6d0dd206-0e73-4145-9c2f-4dfb96c39082","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",,
"0b5650ce-8144-42bb-8fa9-6b5f0f6e8080","D09","PRPO","PRPO.AOS.riparian.point.07","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.7","A00000241546","BA22NEOMLR02005O1","NAICOM","Y","Nais communis/variabilis",,"speciesGroup","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Nais","communis/variabilis",,"none",2,,1,100,1,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender",,
"158f9d94-1eaa-40f5-b7bc-54374da21f64","D09","PRPO","PRPO.AOS.riparian.point.07","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.7","A00000241546",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"none",2,,1,100,1,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"d78ee7d3-97b8-4f69-91fa-090c4ca089a6","D09","PRPO","PRPO.AOS.riparian.point.05","2021-09-20T14:29Z","2022-05-05","PRPO.20210920.BENTHICSWEEP.5","A00000241547",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",2,,3,100,3,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",,
"3f69bbb0-891d-406d-9a4b-11cf76577a70","D09","PRPO","PRPO.AOS.riparian.point.01","2021-09-20T14:29Z","2022-05-04","PRPO.20210920.BENTHICSWEEP.1","A00000241549",,"GYRSP1","Y","Gyraulus sp.",,"genus","Mollusca",,"Gastropoda",,,,"Basommatophora",,,,"Planorbidae",,,,"Gyraulus","sp.",,"none",5,,1,100,1,"N","N","condition OK","Y",,"Burch 1989; Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
