uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"e41c04ca-a54c-45a2-a95e-0fe762e4cbac","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.8","A00000056388",,"NARSP","Y","Narpus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Narpus","sp.",,"larva",1,,4,8,52,"N","N","condition OK","Y",,"Brown and White 1978","N","EcoAnalysts Inc.","A. Navesky",,
"8e521cdc-69b9-4ef4-b820-8d9f2c402946","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.3","A00000056367",,"CLEADD","Y","Cleptelmis addenda",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Cleptelmis","addenda",,"larva",2,,3,38,8,"N","N","condition OK","Y",,"Brown and White 1978","N","EcoAnalysts Inc.","A. Navesky",,
"3c9dfb31-7cfe-44f7-aa07-dde77bd88a53","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2018-12-31","REDB.20180927.SURBER.6","A00000056371",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",2,,1,38,3,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"194ab422-19f0-4ab2-91ff-374e9ea7822b","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.4","A00000056368",,"NEOSP69","Y","Neoleptophlebia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,"Neoleptophlebia","sp.",,"larva",3,,1,77,1,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"6236cf5a-06cf-467d-8fe6-ff9ceacf0ae0","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2018-12-28","REDB.20180927.SURBER.8","A00000056388",,"LUMSP1","Y","Lumbricina sp.",,"suborder","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida","Lumbricina",,,,,,,,"sp.",,"larva",7,,1,8,13,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,
"f6df5f6d-9ec1-42b2-8f11-542fae8d265c","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.3","A00000056367",,"ZAPCIN","Y","Zapada cinctipes",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Nemourinae",,,"Zapada","cinctipes",,"larva",2,,2,38,5,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","A. Navesky",,
"713b8773-d959-4ef3-ac49-b4e36d34b302","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.6","A00000056371",,"DIPHAG","Y","Diphetor hageni",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Diphetor","hageni",,"larva",5,,1,38,3,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"5870859b-dba8-40aa-adff-f0d8290a82e7","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2018-12-31","REDB.20180927.SURBER.1","A00000056366",,"HELSP10","Y","Heleniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Heleniella","sp.",,"larva",3,,1,25,4,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"7372eaf8-a667-4e49-9a67-04a41a0f2505","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.3","A00000056367",,"PERSP19","Y","Pericoma/Telmatoscopus sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Psychodomorpha",,"Psychodidae","Psychodinae",,,"Pericoma/Telmatoscopus","sp.",,"larva",3,,1,38,3,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"b7053528-5ce6-488a-b919-05a3e92be1c6","D15","REDB","REDB.AOS.reach","2018-09-27T17:01Z","2019-02-01","REDB.20180927.SURBER.6","A00000056371",,"ANTSP9","Y","Antocha sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Tipulomorpha",,"Tipulidae","Limoniinae","Limoniini",,"Antocha","sp.",,"larva",2,"2a",3,38,8,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
