uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"5c7c44bd-fc1b-411a-874f-16e7ce5dc1ea","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-12","SUGG.20150707.SWEEP.5",,,"POLILL","Y","Polypedilum illinoense gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","illinoense gr.",,"larva",2,"2a",2,30,7,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace","Fragment; Measurement is of fragment only","legacyData"
"08e08eec-e322-412c-bb95-9db14844d5f5","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2016-10-04","SUGG.20150707.SWEEP.1",,,"CALSP14","Y","Callibaetis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Callibaetis","sp.",,"larva",1,,1,30,3,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","1of this taxon from this sample in Ref. Coll.; Fragment; Measurement is of fragment only; head; measured anterior to posterior not dorsal to ventral","legacyData"
"0fb21358-7f4e-464f-a871-8b83afbe1d6c","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-12-21","SUGG.20150707.SWEEP.2",,,"PRISP1","Y","Pristina sp.",,"genus","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Pristininae",,,"Pristina","sp.",,"none",1,"1a",4,40,10,"Y","N","condition OK","Y",,"Kathman and Brinkhurst 1998","N","EcoAnalysts Inc.","L. Flaherty","Fragment; Measurement is of fragment only","legacyData"
"c0a09c31-cc68-4fa3-954b-4b3bcc653498","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2016-10-11","SUGG.20150707.SWEEP.1",,,"LABSP","Y","Labrundinia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Labrundinia","sp.",,"larva",3,,4,30,13,"Y","N","condition OK","N",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace","2of this taxon from this sample in Ref. Coll.","legacyData"
"5d3ea9ae-074c-4a86-a9e2-50099b227b94","D03","SUGG","SUGG.AOS.riparian.point.08","2015-07-07T14:45Z","2016-10-05","SUGG.20150707.SWEEP.4",,,"ORISP1","Y","Oribatida sp.",,"suborder","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Sarcoptiformes","Oribatida",,,,,,,,"sp.",,"adult",1,,12,30,40,"Y","N","condition OK","N",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","oribatida","legacyData"
"22891e61-69cd-4d42-816a-2663001afbf1","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-06","SUGG.20150707.SWEEP.5",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",8,,1,30,3,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky",,"legacyData"
"c6ea19ac-898d-4ac8-bd05-b15c5e47432e","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2017-01-06","SUGG.20150707.SWEEP.1",,,"ANISP1","Y","Anisoptera sp.",,"suborder","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Anisoptera",,,,,,,,"sp.",,"larva",1,,1,30,3,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Immature; Fragment; Measurement is of fragment only; head to first few ab segs","legacyData"
"5c519a52-01da-42c3-af5c-6028914a068c","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-12-21","SUGG.20150707.SWEEP.2",,,"PRISP1","Y","Pristina sp.",,"genus","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Pristininae",,,"Pristina","sp.",,"none",2,,1,40,3,"Y","N","condition OK","Y",,"Kathman and Brinkhurst 1998","N","EcoAnalysts Inc.","L. Flaherty",,"legacyData"
"437acccc-3580-4e09-adcd-ebfaf5c154e8","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2016-10-11","SUGG.20150707.SWEEP.1",,,"POLSOR","Y","Polypedilum sordens",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sordens",,"pupa",4,,1,30,3,"N","N","condition OK","Y",,"Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace","1of this taxon from this sample in Ref. Coll.","legacyData"
"3c8caa08-7a4c-46e8-87e1-6550e13b66bf","D03","SUGG","SUGG.AOS.littoral1","2015-07-07T14:45Z","2016-10-04","SUGG.20150707.PONAR.2",,,"CHASP13","Y","Chaoborus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chaoboridae","Chaoborinae",,,"Chaoborus","sp.",,"larva",6,,1,20,5,"Y","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky",,"legacyData"
"860b1626-4866-4871-a0de-23202220790d","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2016-12-21","SUGG.20150707.SWEEP.1",,,"DERDIG","Y","Dero digitata",,"species","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Dero","digitata",,"none",2,,2,30,7,"Y","N","condition OK","Y",,"Kathman and Brinkhurst 1998","N","EcoAnalysts Inc.","L. Flaherty","Fragment; Measurement is of fragment only","legacyData"
"e1f7cad2-ec60-489f-8ed5-112aa17d2ead","D03","SUGG","SUGG.AOS.riparian.point.06","2015-07-07T14:45Z","2016-10-12","SUGG.20150707.SWEEP.3",,,"ABLPEL","Y","Ablabesmyia peleensis",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","peleensis",,"larva",7,,1,20,5,"N","N","condition OK","Y",,"Roback 1985 and Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"03b622b9-9bd7-4694-a9cc-44f95bffbefe","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-10-11","SUGG.20150707.SWEEP.2",,,"GLYSP3","Y","Glyptotendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Glyptotendipes","sp.",,"larva",1,"1a",1,40,3,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"8285ae73-9ac1-4817-ab06-d9fd0c85e867","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-06","SUGG.20150707.SWEEP.5",,,"CAESP5","Y","Caenis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","Caeninae",,,"Caenis","sp.",,"larva",1,"1a",39,30,130,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Immature","legacyData"
"f2103c1e-112f-4dc5-8997-65f1803fe56f","D03","SUGG","SUGG.AOS.riparian.point.02","2015-07-07T14:45Z","2016-10-04","SUGG.20150707.SWEEP.1",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",8,"8a",1,30,3,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Fragment; Measurement is of fragment only; mostly whole, may only be missing a segment or two","legacyData"
"874e56c4-572d-409a-8a5c-04323c3fbe64","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-06","SUGG.20150707.SWEEP.5",,,"NAUSP","Y","Naucoridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Naucoroidea","Naucoridae",,,,,"sp.",,"larva",6,,1,20,5,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Immature; Not Distinct","legacyData"
"830d978f-eab0-4e6a-974b-b1cdebdf075f","D03","SUGG","SUGG.AOS.riparian.point.06","2015-07-07T14:45Z","2016-10-05","SUGG.20150707.SWEEP.3",,,"CAMSP1","Y","Cambaridae sp.",,"family","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",,"Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae",,,,,"sp.",,"larva",16,,1,30,3,"N","N","condition OK","Y",,"EPA Identification Manual #9","N","EcoAnalysts Inc.","A. Navesky","Immature; 4 females 1 form 2 male","legacyData"
"a1895d8e-526b-46c8-88ca-69b24763dcd8","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-06","SUGG.20150707.SWEEP.5",,,"NAUSP","Y","Naucoridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Naucoroidea","Naucoridae",,,,,"sp.",,"larva",12,,1,20,5,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","Immature; Not Distinct","legacyData"
"27c4d843-dfd3-415e-acdf-58b47636ea69","D03","SUGG","SUGG.AOS.riparian.point.08","2015-07-07T14:45Z","2016-10-05","SUGG.20150707.SWEEP.4",,,"ARRSP2","Y","Arrenurus sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Arrenuroidea","Arrenuridae",,,,"Arrenurus","sp.",,"adult",1,,1,30,3,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,"legacyData"
"cce3ea1f-d878-43db-ac6e-808eb788ad5d","D03","SUGG","SUGG.AOS.riparian.point.08","2015-07-07T14:45Z","2016-12-30","SUGG.20150707.SWEEP.4",,,"DERDIG","Y","Dero digitata",,"species","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae","Naidinae",,,"Dero","digitata",,"none",2,"2a",2,30,7,"Y","N","condition OK","Y",,"Kathman and Brinkhurst 1998","N","EcoAnalysts Inc.","L. Flaherty",,"legacyData"
"5de3800d-9efb-43bf-891b-1c7d158ebfa8","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-10-04","SUGG.20150707.SWEEP.2",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",8,,1,40,3,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky",,"legacyData"
"7e48dba4-611d-4794-b56b-999460440726","D03","SUGG","SUGG.AOS.riparian.point.10","2015-07-07T14:45Z","2016-10-06","SUGG.20150707.SWEEP.5",,,"PELSP5","Y","Pelocoris sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Heteroptera","Nepomorpha","Naucoroidea","Naucoridae","Naucorinae",,,"Pelocoris","sp.",,"larva",7,,1,20,5,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","3of this taxon from this sample in Ref. Coll.","legacyData"
"a3a90c2b-81ef-495e-afea-bb72613547e2","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-10-04","SUGG.20150707.SWEEP.2",,,"PELSP3","Y","Peltodytes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga",,,"Haliplidae",,,,"Peltodytes","sp.",,"adult",4,,2,40,5,"N","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","2of this taxon from this sample in Ref. Coll.","legacyData"
"df20f94d-05f1-49cb-9554-bbe0088d7f25","D03","SUGG","SUGG.AOS.riparian.point.08","2015-07-07T14:45Z","2016-10-12","SUGG.20150707.SWEEP.4",,,"LABSP","Y","Labrundinia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Labrundinia","sp.",,"larva",3,,3,30,10,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"c58c765c-89f8-4434-abfd-860673169c77","D03","SUGG","SUGG.AOS.riparian.point.04","2015-07-07T14:45Z","2016-10-11","SUGG.20150707.SWEEP.2",,,"LABSP","Y","Labrundinia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Labrundinia","sp.",,"larva",1,,2,40,5,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,"legacyData"
"ff7a4c8f-a545-4d8a-93b8-0137f87dc19a","D03","SUGG","SUGG.AOS.riparian.point.06","2015-07-07T14:45Z","2016-10-05","SUGG.20150707.SWEEP.3",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",4,"4a",1,20,5,"Y","N","condition OK","Y",,"Merritt et al. 2008","N","EcoAnalysts Inc.","A. Navesky","missing most of abdomen","legacyData"
