uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"35d647b4-a5cd-443d-9937-e1024095bcf5","D18","TOOK","TOOK.AOS.littoral1","2018-07-30T17:42Z","2018-12-29","TOOK.20180730.PONAR.3","A00000030190",,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"larva",7,,2,79,3,"N","Y","condition OK","Y",,"Thorp and Covich 2001","Y","EcoAnalysts Inc.","A. Navesky","0",
"da258f8d-e43b-4bee-8501-7dd74c33f3f6","D18","TOOK","TOOK.AOS.riparian.point.06","2018-07-30T17:42Z","2018-11-20","TOOK.20180730.BENTHICSWEEP.6","A00000028840",,"ABLSP","Y","Ablabesmyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","sp.",,"larva",3,,2,100,2,"Y","N","condition OK","Y",,"Roback 1985 and Epler 2001","N","EcoAnalysts Inc.","G. Wallace","3-segmented palp",
"43928737-8b4c-4827-8747-1f267cbac840","D18","TOOK","TOOK.AOS.riparian.point.09","2018-07-30T17:42Z","2018-12-29","TOOK.20180730.BENTHICSWEEP.9","A00000030186",,"LYMSP","Y","Lymnaeidae sp.",,"family","Mollusca",,"Gastropoda",,,,"Basommatophora",,,,"Lymnaeidae",,,,,"sp.",,"larva",2,,4,50,8,"Y","N","condition OK","N",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","0",
"5850deb3-8f48-4494-ab36-0fd9116614de","D18","TOOK","TOOK.AOS.riparian.point.07","2018-07-30T17:42Z","2019-01-02","TOOK.20180730.BENTHICSWEEP.7","A00000030188",,"LEBSP1","Y","Lebertia sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Lebertiidae",,,,"Lebertia","sp.",,"adult",2,,1,27,4,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,
"720bc247-a75a-4910-b4da-7f5cf18cc6aa","D18","TOOK","TOOK.AOS.riparian.point.09","2018-07-30T17:42Z","2018-11-20","TOOK.20180730.BENTHICSWEEP.9","A00000030186",,"CRISP6","Y","Cricotopus/Orthocladius sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus/Orthocladius","sp.",,"larva",1,,2,50,4,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","G. Wallace",,
"63a7f7c6-b17b-4754-a71a-79bfa6d8ceb0","D18","TOOK","TOOK.AOS.riparian.point.03","2018-07-30T17:42Z","2018-11-21","TOOK.20180730.BENTHICSWEEP.3","A00000030189",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",2,,1,69,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"6b7f2312-acd9-4bc5-9649-d495c3ddd68d","D18","TOOK","TOOK.AOS.riparian.point.01","2018-07-30T17:42Z","2018-11-30","TOOK.20180730.BENTHICSWEEP.1","A00000028848",,"ENCSP1","Y","Enchytraeidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Enchytraeida",,,,"Enchytraeidae",,,,,"sp.",,"larva",3,,1,13,8,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty","0",
"a74ab83e-2077-4e2f-9333-e7be4a750c0c","D18","TOOK","TOOK.AOS.riparian.point.01","2018-07-30T17:42Z","2019-01-02","TOOK.20180730.BENTHICSWEEP.1","A00000028848",,"VALSP3","Y","Valvata sp.",,"genus","Mollusca",,"Gastropoda",,,,"Heterostropha",,,,"Valvatidae",,,,"Valvata","sp.",,"larva",1,,5,13,40,"Y","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky","0",
"c7c99dbf-49bc-4738-b26f-a1f55f9603d2","D18","TOOK","TOOK.AOS.riparian.point.07","2018-07-30T17:42Z","2019-01-02","TOOK.20180730.BENTHICSWEEP.7","A00000030188",,"EMPSP","Y","Empididae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","Muscomorpha",,"Empididae",,,,,"sp.",,"larva",1,,1,27,4,"Y","N","condition OK","N",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"0f5e14da-51e1-4990-ae9f-c7d853c61285","D18","TOOK","TOOK.AOS.littoral1","2018-07-30T17:42Z","2018-11-24","TOOK.20180730.PONAR.3","A00000030190",,"ZALSP","Y","Zalutschia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Zalutschia","sp.",,"larva",3,,1,79,1,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","Y","EcoAnalysts Inc.","G. Wallace","lost specimen on reference w/ Hydrobaenus",
