uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"5e0891cd-7178-488d-babc-da84f30ddaac","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,5,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"18b2bd64-5206-4e99-b683-588a74b9b9e3","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","pool",,1,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"ed98a1f2-94f5-4bc7-9a33-bdc60a3fc469","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","pool",,3,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"6a7f4d89-4d6e-43d5-8f98-7e98249c7486","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,4,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"8f281d6f-8883-404e-b6f3-14bbd3fc54b4","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,2,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"c6db7716-aef6-4733-98d1-3cb911f0869a","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,1,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"b2a9a56b-5b56-4a9f-8a5c-05af9b5fe47d","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,3,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"7dfa0328-db14-477d-9241-03a7398be8cd","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-15T18:00Z","WLOU.20200915",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","pool",,2,,,,,,,,"Sampling was missed due to a wildfire closure at the site during the scheduled bio bout window","0000-0002-7071-0855",,
"959a8f42-9027-4d13-8b6d-0a68daf209b2","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.SURBER.4","A00000124261",,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",4,"cobble",0.093,,,,,,,"0000-0002-6718-4647","0000-0002-8545-6706",
"24658e07-1a2f-4490-b868-b1244b26587a","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.SURBER.2","A00000124252",,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",2,"cobble",0.093,,,,,,,"0000-0002-6718-4647","0000-0002-8545-6706",
"b9da888f-9426-40f2-93a5-04a13e5ec643","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.CORE.3","A00000124259",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pool","core",3,"sand",0.006,,,,,,,"0000-0002-6718-4647","0000-0002-8545-6706",
"db037241-e2c4-46ad-930c-f965c3442bf8","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.CORE.1","A00000124255",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pool","core",1,"sand",0.006,,,,,,,"0000-0002-6718-4647","0000-0002-8545-6706",
"7c96e629-d730-4d60-833c-7de7d32e7d90","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.SURBER.1","A00000124256","WLOU.20200921.SURBER.1.ARC","A00000245469","NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",1,"cobble",0.093,,,,,,"DNA ID is .DNA not .arc","0000-0002-6718-4647","0000-0002-8545-6706",
"70846fb2-62fc-45f2-9c63-20929b5096ce","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.SURBER.3","A00000124257","WLOU.20200921.SURBER.3.ARC","A00000245457","NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",3,"cobble",0.093,,,,,,"DNA is .DNA not .arc","0000-0002-6718-4647","0000-0002-8545-6706",
"876136b0-ba1e-4de1-b2a2-0c8efddac88b","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.SURBER.5","A00000124260","WLOU.20200921.SURBER.5.ARC","A00000245456","NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",5,"cobble",0.093,,,,,,"DNA is .DNA not .arc","0000-0002-6718-4647","0000-0002-8545-6706",
"8ac4931e-d582-4a2f-aa1b-bd39d766a1b8","D13","WLOU","WLOU.AOS.reach",39.891366,-105.915395,1000.0,"WGS84",2908.0,1000.0,"stream","2020-09-21T20:26Z","WLOU.20200921",3,"WLOU.20200921.CORE.2","A00000124258",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pool","core",2,"sand",0.006,,,,,,,"0000-0002-6718-4647","0000-0002-8545-6706",
